k,g,s,cv,npf
100.0,0.8,0.01,0.4,1.477356
100.0,0.8,0.01,0.45,1.495292
100.0,0.8,0.1,0.15,1.020756
100.0,0.8,0.1,0.2,1.095932
100.0,0.8,0.1,0.25,1.351492
100.0,0.8,0.1,0.3,1.391172
100.0,0.8,0.1,0.35,1.425676
100.0,0.8,0.1,0.4,1.455868
100.0,0.8,0.1,0.45,1.481244
100.0,0.8,0.5,0.15,0.928788
100.0,0.8,0.5,0.2,0.92852
100.0,0.8,0.5,0.25,0.946
100.0,0.8,0.5,0.3,0.970896
100.0,0.8,0.5,0.35,1.030728
100.0,0.8,0.5,0.4,1.142068
100.0,0.8,0.5,0.45,1.287492
100.0,0.8,1.0,0.15,0.92196
100.0,0.8,1.0,0.2,0.919488
100.0,0.8,1.0,0.25,0.925072
100.0,0.8,1.0,0.3,0.922248
100.0,0.8,1.0,0.35,0.924308
100.0,0.8,1.0,0.4,0.929968
100.0,0.8,1.0,0.45,0.94294
100.0,0.9,0.0,0.15,1.112348
100.0,0.9,0.0,0.2,1.135572
100.0,0.9,0.0,0.25,1.161596
100.0,0.9,0.0,0.3,1.16794
100.0,0.9,0.0,0.35,1.175924
100.0,0.9,0.0,0.4,1.183916
100.0,0.9,0.0,0.45,1.187356
100.0,0.9,0.01,0.15,1.104332
100.0,0.9,0.01,0.2,1.128328
100.0,0.9,0.01,0.25,1.161852
100.0,0.9,0.01,0.3,1.166508
100.0,0.9,0.01,0.35,1.179312
100.0,0.9,0.01,0.4,1.182424
100.0,0.9,0.01,0.45,1.190352
100.0,0.9,0.1,0.15,1.013044
100.0,0.9,0.1,0.2,1.049104
100.0,0.9,0.1,0.25,1.151444
100.0,0.9,0.1,0.3,1.167524
100.0,0.9,0.1,0.35,1.176588
100.0,0.9,0.1,0.4,1.189876
100.0,0.9,0.1,0.45,1.19192
100.0,0.9,0.5,0.15,0.966252
100.0,0.9,0.5,0.2,0.965116
100.0,0.9,0.5,0.25,0.977176
100.0,0.9,0.5,0.3,0.9872
100.0,0.9,0.5,0.35,1.017316
100.0,0.9,0.5,0.4,1.077204
100.0,0.9,0.5,0.45,1.155008
100.0,0.9,1.0,0.15,0.964024
100.0,0.9,1.0,0.2,0.963584
100.0,0.9,1.0,0.25,0.964304
100.0,0.9,1.0,0.3,0.965464
100.0,0.9,1.0,0.35,0.966484
100.0,0.9,1.0,0.4,0.9675
100.0,0.9,1.0,0.45,0.974064
100.0,1.0,0.0,0.15,0.98942
